"No.","Time","Source","Destination","Protocol","Length","Flags","Window","Differentiated Services Field","Version","Info"
"1","0.000000","10.0.0.2","230.0.0.1","UDP","92","","","0x00","","50394  >  6666 Len=50"
"2","0.035339","2a03:2880:f242:1c7:face:b00c:0:7260","2a06:c701:423c:b800:e516:82b3:32ae:664d","SSL","525","0x018","528","","","Continuation Data"
"3","0.039861","2a06:c701:423c:b800:e516:82b3:32ae:664d","2a03:2880:f242:1c7:face:b00c:0:7260","SSL","124","0x018","1027","","","Continuation Data"
"4","0.040630","2a06:c701:423c:b800:e516:82b3:32ae:664d","2a03:2880:f242:1c7:face:b00c:0:7260","SSL","319","0x018","1027","","","Continuation Data"
"5","0.045946","2a06:c701:423c:b800:e516:82b3:32ae:664d","2a03:2880:f242:1c2:face:b00c:0:167","TLSv1.2","238","0x018","8199","","TLS 1.2","Application Data"
"6","0.094047","2a03:2880:f242:1c7:face:b00c:0:7260","2a06:c701:423c:b800:e516:82b3:32ae:664d","TCP","74","0x010","528","","","443  >  65211 [ACK] Seq=452 Ack=51 Win=528 Len=0"
"7","0.094047","2a03:2880:f242:1c7:face:b00c:0:7260","2a06:c701:423c:b800:e516:82b3:32ae:664d","TCP","74","0x010","538","","","443  >  65211 [ACK] Seq=452 Ack=296 Win=538 Len=0"
"8","0.100743","2a03:2880:f242:1c2:face:b00c:0:167","2a06:c701:423c:b800:e516:82b3:32ae:664d","TLSv1.2","109","0x018","294","","TLS 1.2","Application Data"
"9","0.100743","2a03:2880:f242:1c2:face:b00c:0:167","2a06:c701:423c:b800:e516:82b3:32ae:664d","TLSv1.2","217","0x018","294","","TLS 1.2","Application Data"
"10","0.100743","2a03:2880:f242:1c2:face:b00c:0:167","2a06:c701:423c:b800:e516:82b3:32ae:664d","TCP","1466","0x010","294","","","443  >  49693 [ACK] Seq=179 Ack=165 Win=294 Len=1392 [TCP PDU reassembled in 11]"
"11","0.100743","2a03:2880:f242:1c2:face:b00c:0:167","2a06:c701:423c:b800:e516:82b3:32ae:664d","TLSv1.2","1466","0x010","294","","TLS 1.2","Application Data"
"12","0.100934","2a06:c701:423c:b800:e516:82b3:32ae:664d","2a03:2880:f242:1c2:face:b00c:0:167","TCP","74","0x010","8199","","","49693  >  443 [ACK] Seq=165 Ack=2963 Win=8199 Len=0"
